[04-Jul-2013 15:18:02 UTC] PHP Notice:  Undefined variable: dddddd in D:\xampp\www\wordpress_\wp-settings.php on line 56
[09-Jul-2013 12:59:28 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[09-Jul-2013 13:01:02 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[09-Jul-2013 13:33:31 UTC] PHP Fatal error:  Class 'NOOP_Translations' not found in D:\xampp\www\wordpress_\wp-includes\l10n.php on line 503
[09-Jul-2013 13:44:45 UTC] PHP Notice:  Undefined variable: wp_json in D:\xampp\www\wordpress_\wp-includes\compat.php on line 63
[09-Jul-2013 13:53:35 UTC] PHP Notice:  Undefined variable: wpdb in D:\xampp\www\wordpress_\wp-includes\functions.php on line 10
[09-Jul-2013 13:54:55 UTC] PHP Fatal error:  Call to undefined function apply_filters() in D:\xampp\www\wordpress_\wp-includes\functions.php on line 142
[09-Jul-2013 13:57:11 UTC] PHP Fatal error:  Call to undefined function apply_filters() in D:\xampp\www\wordpress_\wp-includes\option.php on line 40
[09-Jul-2013 13:57:15 UTC] PHP Fatal error:  Call to undefined function apply_filters() in D:\xampp\www\wordpress_\wp-includes\option.php on line 40
[09-Jul-2013 13:57:56 UTC] PHP Fatal error:  Call to undefined function apply_filters() in D:\xampp\www\wordpress_\wp-includes\functions.php on line 142
[09-Jul-2013 14:09:50 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[09-Jul-2013 14:10:05 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[09-Jul-2013 14:10:18 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[09-Jul-2013 14:11:09 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[09-Jul-2013 14:14:04 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[09-Jul-2013 14:16:25 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[09-Jul-2013 14:16:34 UTC] PHP Fatal error:  Call to undefined function wp_cache_get() in D:\xampp\www\wordpress_\wp-includes\option.php on line 49
[10-Jul-2013 14:03:56 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\xampp\www\wordpress_\wp-includes\class-http.php on line 1165
[10-Jul-2013 14:04:55 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\xampp\www\wordpress_\wp-includes\class-http.php on line 1165
[10-Jul-2013 14:05:59 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\xampp\www\wordpress_\wp-includes\class-http.php on line 1165
[10-Jul-2013 14:11:35 UTC] PHP Notice:  Undefined variable: message in D:\xampp\www\wordpress_\wp-content\plugins\captcha\captcha.php on line 349
[10-Jul-2013 15:39:06 UTC] PHP Fatal error:  Call to undefined function convert_chars() in D:\xampp\www\wordpress_\wp-includes\default-filters.php on line 129
[10-Jul-2013 15:40:06 UTC] PHP Fatal error:  Call to undefined function convert_chars() in D:\xampp\www\wordpress_\wp-includes\default-filters.php on line 129
[10-Jul-2013 15:41:06 UTC] PHP Fatal error:  Call to undefined function convert_chars() in D:\xampp\www\wordpress_\wp-includes\default-filters.php on line 129
[11-Jul-2013 11:56:51 UTC] PHP Notice:  Undefined variable: charset_collage in D:\xampp\www\wordpress_\wp-content\plugins\wordpress-form-manager\db.php on line 387
[11-Jul-2013 11:56:54 UTC] PHP Notice:  Undefined variable: template in D:\xampp\www\wordpress_\wp-content\plugins\wordpress-form-manager\template.php on line 152
[11-Jul-2013 11:56:54 UTC] PHP Notice:  Undefined variable: template in D:\xampp\www\wordpress_\wp-content\plugins\wordpress-form-manager\template.php on line 152
[11-Jul-2013 11:56:54 UTC] PHP Notice:  Undefined variable: template in D:\xampp\www\wordpress_\wp-content\plugins\wordpress-form-manager\template.php on line 152
[11-Jul-2013 12:06:32 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:07:32 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:08:33 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:09:33 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:10:31 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:10:33 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:11:09 UTC] PHP Warning:  mysql_connect():  in D:\xampp\www\wordpress_\wp-includes\wp-db.php on line 1143
[11-Jul-2013 12:25:41 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in D:\xampp\www\wordpress_\wp-includes\class-http.php on line 1215
[11-Jul-2013 13:24:43 UTC] PHP Warning:  stream_socket_enable_crypto(): this stream does not support SSL/crypto in D:\xampp\www\wordpress_\wp-includes\class-smtp.php on line 200
[11-Jul-2013 13:25:32 UTC] PHP Warning:  stream_socket_enable_crypto(): this stream does not support SSL/crypto in D:\xampp\www\wordpress_\wp-includes\class-smtp.php on line 200
[11-Jul-2013 13:26:09 UTC] PHP Warning:  stream_socket_enable_crypto(): this stream does not support SSL/crypto in D:\xampp\www\wordpress_\wp-includes\class-smtp.php on line 200
[11-Jul-2013 13:26:52 UTC] PHP Warning:  stream_socket_enable_crypto(): this stream does not support SSL/crypto in D:\xampp\www\wordpress_\wp-includes\class-smtp.php on line 200
[11-Jul-2013 13:33:06 UTC] PHP Notice:  自 3.5 版本起，已<strong>不建议使用</strong> supports_collation，请换用 wpdb::has_cap( 'collation' )。 in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2841
[11-Jul-2013 13:33:07 UTC] WordPress 数据库查询 ALTER TABLE wp_pollsip ADD INDEX pollip_ip (pollip_ip); 时发生 Duplicate key name 'pollip_ip' 错误，这是由 activate_plugin, do_action('activate_wp-polls/wp-polls.php'), call_user_func_array, create_poll_table 查询的。
[11-Jul-2013 13:33:07 UTC] WordPress 数据库查询 ALTER TABLE wp_pollsip ADD INDEX pollip_qid (pollip_qid); 时发生 Duplicate key name 'pollip_qid' 错误，这是由 activate_plugin, do_action('activate_wp-polls/wp-polls.php'), call_user_func_array, create_poll_table 查询的。
[11-Jul-2013 13:50:10 UTC] PHP Notice:  Undefined index: simple_link_category in D:\xampp\www\wordpress_\wp-content\plugins\simple-links\classes\simple-links.admin.class.php on line 183
[11-Jul-2013 13:50:10 UTC] PHP Notice:  Undefined property: WP_Error::$slug in D:\xampp\www\wordpress_\wp-content\plugins\simple-links\classes\simple-links.admin.class.php on line 183
[11-Jul-2013 13:50:10 UTC] PHP Notice:  Undefined index: simple_link_category in D:\xampp\www\wordpress_\wp-content\plugins\simple-links\classes\simple-links.admin.class.php on line 206
[11-Jul-2013 13:50:28 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\simple-links\classes\simple-links.class.php on line 410
[11-Jul-2013 13:50:28 UTC] PHP Notice:  Undefined property: simple_links::$_meta_fields in D:\xampp\www\wordpress_\wp-content\plugins\simple-links\classes\simple-links.class.php on line 418
[11-Jul-2013 13:50:56 UTC] PHP Notice:  Array to string conversion in D:\xampp\www\wordpress_\wp-content\plugins\simple-links\classes\simple-links.admin.class.php on line 297
[11-Jul-2013 13:53:58 UTC] PHP Notice:  自 2.3 版本起，已<strong>不建议</strong>给 add_option 传入一个参数！没有替代方案。 in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2927
[11-Jul-2013 13:53:59 UTC] PHP Notice:  add_option was called with an argument that is <strong>deprecated</strong> since version 2.3 with no alternative available. in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2927
[11-Jul-2013 13:54:00 UTC] PHP Notice:  自 2.0 版本起，已<strong>不建议</strong>给 has_cap 传入一个参数！插件和主题中，用户等级的使用已不被支持。请换用角色和权限。 in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2925
[11-Jul-2013 13:54:00 UTC] PHP Notice:  自 2.0 版本起，已<strong>不建议</strong>给 has_cap 传入一个参数！插件和主题中，用户等级的使用已不被支持。请换用角色和权限。 in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2925
[11-Jul-2013 13:54:14 UTC] PHP Notice:  add_option was called with an argument that is <strong>deprecated</strong> since version 2.3 with no alternative available. in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2927
[11-Jul-2013 13:54:14 UTC] PHP Notice:  自 2.0 版本起，已<strong>不建议</strong>给 has_cap 传入一个参数！插件和主题中，用户等级的使用已不被支持。请换用角色和权限。 in D:\xampp\www\wordpress_\wp-includes\functions.php on line 2925
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 501
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 516
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 533
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 546
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 561
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 303
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 316
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: where in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 322
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 367
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 382
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 400
[11-Jul-2013 14:43:27 UTC] PHP Notice:  Undefined variable: where in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 414
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 501
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 516
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 533
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 546
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 561
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 303
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 316
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: where in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 322
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined index: exact in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 367
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 382
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: sentence in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 400
[11-Jul-2013 14:44:00 UTC] PHP Notice:  Undefined variable: where in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 414
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
[11-Jul-2013 14:48:30 UTC] PHP Notice:  Trying to get property of non-object in D:\xampp\www\wordpress_\wp-content\plugins\search-everything\search-everything.php on line 709
